%time,field.stamp,field.reference_magenc,field.measure_magenc
1718603666072054246,1718603666073084205,13376,6167
1718603666278826019,1718603666275084205,12996,4773
1718603666374730550,1718603666376084205,12441,3333
1718603666475983009,1718603666477084205,12200,2807
1718603666577529127,1718603666578084205,12199,2824
1718603666677878886,1718603666679084205,12201,2816
1718603666778944825,1718603666780084205,12200,2823
1718603666880033921,1718603666881265975,12112,2641
1718603666981455772,1718603666982265975,11620,1685
1718603667082359377,1718603667083265975,11204,913
1718603667183595103,1718603667184265975,10961,434
1718603667284160441,1718603667285265975,10961,435
1718603667486065796,1718603667487265975,10960,439
1718603667586748279,1718603667588265975,10780,52
1718603667687648786,1718603667689265975,10274,64542
1718603667789026214,1718603667790265975,9871,63730
1718603667889706720,1718603667891265975,9848,63698
1718603667990902155,1718603667992265975,9849,63682
1718603668092651752,1718603668093265975,9849,63700
1718603668193518488,1718603668194265975,9848,63693
1718603668294266432,1718603668295265975,9466,62940
1718603668395057856,1718603668396265975,8920,61774
1718603668602794734,1718603668598265975,8715,61297
1718603668697589725,1718603668699265975,8714,61289
1718603668798682006,1718603668800265975,8713,61287
1718603668900062822,1718603668901265975,8329,60230
1718603669000577153,1718603669002265975,7728,57908
1718603669102369892,1718603669103265975,7345,55814
1718603669203963909,1718603669204265975,7345,55825
1718603669304050442,1718603669305265975,7345,55822
1718603669405232620,1718603669407178737,7345,55794
1718603669505621831,1718603669508178737,7108,54109
1718603669607458975,1718603669609178737,6411,47626
1718603669809423189,1718603669811178737,5873,42805
1718603669910807518,1718603669912178737,5871,42802
1718603670011384500,1718603670013178737,5873,42815
1718603670112948213,1718603670114178737,5846,42604
1718603670212136027,1718603670215178737,5304,39381
1718603670314585505,1718603670316178737,4858,37558
1718603670414739661,1718603670417178737,4637,36882
1718603670516041983,1718603670518178737,4638,36895
1718603670617632075,1718603670619178737,4638,36875
1718603670717603461,1718603670720178737,4613,36795
1718603670919245256,1718603670922178737,3795,34861
1718603671021345404,1718603671023178737,3798,34854
1718603671122645635,1718603671124178737,3798,34858
1718603671222473086,1718603671225178737,3797,34864
1718603671324965211,1718603671326178737,3795,34858
1718603671424591989,1718603671427178737,3793,34858
1718603671526818863,1718603671528178737,3797,34870
1718603671627344896,1718603671629178737,3796,34863
1718603671727604270,1718603671730178737,3795,34866
1718603671829259546,1718603671831178737,3795,34866
1718603672036435522,1718603672031934288,3796,34868
1718603672131808913,1718603672132934288,3796,34869
1718603672233547488,1718603672233934288,3796,34862
1718603672334482074,1718603672334934288,3795,34863
